method,track_id,class_name,ground_truth_instances,recall
vision_only_tiled,boat,boat,300,1.0
vision_only_tiled,b1,buoy,300,0.7833333333333333
vision_only_tiled,b2,buoy,92,0.0
vision_only_tiled,b3,buoy,300,0.0
vision_only_tiled,b4,buoy,300,0.0
vision_only_tiled,b5,buoy,300,0.0
vision_only_tiled,b6,buoy,300,0.0
vision_only_tiled,b7,buoy,300,0.0
vision_only_tiled,b8,buoy,300,0.0
radar_confidence_gated,boat,boat,300,1.0
radar_confidence_gated,b1,buoy,300,0.9233333333333333
radar_confidence_gated,b2,buoy,92,0.0
radar_confidence_gated,b3,buoy,300,0.0
radar_confidence_gated,b4,buoy,300,0.0
radar_confidence_gated,b5,buoy,300,0.0
radar_confidence_gated,b6,buoy,300,0.0
radar_confidence_gated,b7,buoy,300,0.0
radar_confidence_gated,b8,buoy,300,0.0
radar_bounded_crops,boat,boat,300,1.0
radar_bounded_crops,b1,buoy,300,1.0
radar_bounded_crops,b2,buoy,92,0.14130434782608695
radar_bounded_crops,b3,buoy,300,0.0
radar_bounded_crops,b4,buoy,300,0.0
radar_bounded_crops,b5,buoy,300,0.0
radar_bounded_crops,b6,buoy,300,0.0
radar_bounded_crops,b7,buoy,300,0.0
radar_bounded_crops,b8,buoy,300,0.0
