method,camera_frame,cumulative_fp
radar_bounded_crops,119,1
radar_bounded_crops,120,4
radar_bounded_crops,121,6
radar_bounded_crops,122,9
radar_bounded_crops,123,11
radar_bounded_crops,124,14
radar_bounded_crops,125,16
radar_bounded_crops,126,18
radar_bounded_crops,127,20
radar_bounded_crops,128,22
radar_bounded_crops,129,25
radar_bounded_crops,130,28
radar_bounded_crops,131,30
radar_bounded_crops,132,32
radar_bounded_crops,133,34
radar_bounded_crops,134,35
radar_bounded_crops,135,37
radar_bounded_crops,136,39
radar_bounded_crops,137,40
radar_bounded_crops,138,41
radar_bounded_crops,139,42
radar_bounded_crops,140,43
radar_bounded_crops,141,44
radar_bounded_crops,142,45
radar_bounded_crops,143,46
radar_bounded_crops,144,47
radar_bounded_crops,145,48
radar_bounded_crops,146,48
radar_bounded_crops,147,49
radar_bounded_crops,148,49
radar_bounded_crops,149,50
radar_bounded_crops,150,50
radar_bounded_crops,151,51
radar_bounded_crops,152,51
radar_bounded_crops,153,51
radar_bounded_crops,154,51
radar_bounded_crops,155,51
radar_bounded_crops,156,51
radar_bounded_crops,157,51
radar_bounded_crops,158,51
radar_bounded_crops,159,53
radar_bounded_crops,160,54
radar_bounded_crops,161,56
radar_bounded_crops,162,57
radar_bounded_crops,163,59
radar_bounded_crops,164,61
radar_bounded_crops,165,63
radar_bounded_crops,166,65
radar_bounded_crops,167,67
radar_bounded_crops,168,69
radar_bounded_crops,169,69
radar_bounded_crops,170,70
radar_bounded_crops,171,73
radar_bounded_crops,172,73
radar_bounded_crops,173,75
radar_bounded_crops,174,75
radar_bounded_crops,175,76
radar_bounded_crops,176,76
radar_bounded_crops,177,77
radar_bounded_crops,178,78
radar_bounded_crops,179,79
radar_bounded_crops,180,80
radar_bounded_crops,181,80
radar_bounded_crops,182,81
radar_bounded_crops,183,82
radar_bounded_crops,184,83
radar_bounded_crops,185,85
radar_bounded_crops,186,86
radar_bounded_crops,187,87
radar_bounded_crops,188,88
radar_bounded_crops,189,89
radar_bounded_crops,190,90
radar_bounded_crops,191,91
radar_bounded_crops,192,92
radar_bounded_crops,193,92
radar_bounded_crops,194,93
radar_bounded_crops,195,94
radar_bounded_crops,196,95
radar_bounded_crops,197,96
radar_bounded_crops,198,98
radar_bounded_crops,199,98
radar_bounded_crops,200,98
radar_bounded_crops,201,100
radar_bounded_crops,202,101
radar_bounded_crops,203,101
radar_bounded_crops,204,101
radar_bounded_crops,205,102
radar_bounded_crops,206,102
radar_bounded_crops,207,102
radar_bounded_crops,208,102
radar_bounded_crops,209,103
radar_bounded_crops,210,103
radar_bounded_crops,211,104
radar_bounded_crops,212,105
radar_bounded_crops,213,106
radar_bounded_crops,214,107
radar_bounded_crops,215,108
radar_bounded_crops,216,109
radar_bounded_crops,217,111
radar_bounded_crops,218,112
radar_bounded_crops,219,114
radar_bounded_crops,220,115
radar_bounded_crops,221,116
radar_bounded_crops,222,117
radar_bounded_crops,223,117
radar_bounded_crops,224,118
radar_bounded_crops,225,119
radar_bounded_crops,226,120
radar_bounded_crops,227,120
radar_bounded_crops,228,121
radar_bounded_crops,229,122
radar_bounded_crops,230,122
radar_bounded_crops,231,123
radar_bounded_crops,232,124
radar_bounded_crops,233,125
radar_bounded_crops,234,126
radar_bounded_crops,235,127
radar_bounded_crops,236,128
radar_bounded_crops,237,129
radar_bounded_crops,238,130
radar_bounded_crops,239,131
radar_bounded_crops,240,133
radar_bounded_crops,241,134
radar_bounded_crops,242,134
radar_bounded_crops,243,135
radar_bounded_crops,244,135
radar_bounded_crops,245,135
radar_bounded_crops,246,136
radar_bounded_crops,247,137
radar_bounded_crops,248,138
radar_bounded_crops,249,139
radar_bounded_crops,250,139
radar_bounded_crops,251,139
radar_bounded_crops,252,139
radar_bounded_crops,253,140
radar_bounded_crops,254,142
radar_bounded_crops,255,143
radar_bounded_crops,256,144
radar_bounded_crops,257,145
radar_bounded_crops,258,147
radar_bounded_crops,259,148
radar_bounded_crops,260,148
radar_bounded_crops,261,148
radar_bounded_crops,262,148
radar_bounded_crops,263,149
radar_bounded_crops,264,150
radar_bounded_crops,265,151
radar_bounded_crops,266,152
radar_bounded_crops,267,152
radar_bounded_crops,268,153
radar_bounded_crops,269,155
radar_bounded_crops,270,156
radar_bounded_crops,271,157
radar_bounded_crops,272,157
radar_bounded_crops,273,158
radar_bounded_crops,274,159
radar_bounded_crops,275,161
radar_bounded_crops,276,163
radar_bounded_crops,277,165
radar_bounded_crops,278,167
radar_bounded_crops,279,169
radar_bounded_crops,280,170
radar_bounded_crops,281,171
radar_bounded_crops,282,173
radar_bounded_crops,283,175
radar_bounded_crops,284,177
radar_bounded_crops,285,179
radar_bounded_crops,286,180
radar_bounded_crops,287,182
radar_bounded_crops,288,184
radar_bounded_crops,289,186
radar_bounded_crops,290,187
radar_bounded_crops,291,189
radar_bounded_crops,292,191
radar_bounded_crops,293,193
radar_bounded_crops,294,194
radar_bounded_crops,295,195
radar_bounded_crops,296,196
radar_bounded_crops,297,198
radar_bounded_crops,298,199
radar_bounded_crops,299,199
radar_bounded_crops,300,199
radar_bounded_crops,301,199
radar_bounded_crops,302,200
radar_bounded_crops,303,200
radar_bounded_crops,304,200
radar_bounded_crops,305,202
radar_bounded_crops,306,204
radar_bounded_crops,307,205
