method,camera_frame,split,class_name,outcome,track_id,score,iou,source_mode
radar_bounded_crops,119,train,boat,tp,boat,0.4830242693424225,0.6985882933186198,prediction_jsonl
radar_bounded_crops,119,train,boat,fp,,0.24110782146453857,,prediction_jsonl
radar_bounded_crops,119,train,buoy,tp,b1,0.2766862213611603,0.8025692645180437,prediction_jsonl
radar_bounded_crops,119,train,buoy,fn,b2,,,prediction_jsonl
radar_bounded_crops,119,train,buoy,fn,b3,,,prediction_jsonl
radar_bounded_crops,119,train,buoy,fn,b4,,,prediction_jsonl
radar_bounded_crops,119,train,buoy,fn,b5,,,prediction_jsonl
radar_bounded_crops,119,train,buoy,fn,b6,,,prediction_jsonl
radar_bounded_crops,119,train,buoy,fn,b7,,,prediction_jsonl
radar_bounded_crops,119,train,buoy,fn,b8,,,prediction_jsonl
radar_bounded_crops,120,train,boat,tp,boat,0.6180272698402405,0.7217170960259908,prediction_jsonl
radar_bounded_crops,120,train,boat,fp,,0.31300464272499084,,prediction_jsonl
radar_bounded_crops,120,train,boat,fp,,0.22532005608081818,,prediction_jsonl
radar_bounded_crops,120,train,buoy,tp,b1,0.2660500109195709,0.8294854215972914,prediction_jsonl
radar_bounded_crops,120,train,buoy,tp,b2,0.1815711259841919,0.6642959881015053,prediction_jsonl
radar_bounded_crops,120,train,buoy,fp,,0.19660325348377228,,prediction_jsonl
radar_bounded_crops,120,train,buoy,fn,b3,,,prediction_jsonl
radar_bounded_crops,120,train,buoy,fn,b4,,,prediction_jsonl
radar_bounded_crops,120,train,buoy,fn,b5,,,prediction_jsonl
radar_bounded_crops,120,train,buoy,fn,b6,,,prediction_jsonl
radar_bounded_crops,120,train,buoy,fn,b7,,,prediction_jsonl
radar_bounded_crops,120,train,buoy,fn,b8,,,prediction_jsonl
radar_bounded_crops,121,train,boat,tp,boat,0.6898308992385864,0.757562674061251,prediction_jsonl
radar_bounded_crops,121,train,boat,fp,,0.3009280264377594,,prediction_jsonl
radar_bounded_crops,121,train,boat,fp,,0.22251445055007935,,prediction_jsonl
radar_bounded_crops,121,train,buoy,tp,b1,0.23448613286018372,0.822756651677993,prediction_jsonl
radar_bounded_crops,121,train,buoy,fn,b2,,,prediction_jsonl
radar_bounded_crops,121,train,buoy,fn,b3,,,prediction_jsonl
radar_bounded_crops,121,train,buoy,fn,b4,,,prediction_jsonl
radar_bounded_crops,121,train,buoy,fn,b5,,,prediction_jsonl
radar_bounded_crops,121,train,buoy,fn,b6,,,prediction_jsonl
radar_bounded_crops,121,train,buoy,fn,b7,,,prediction_jsonl
radar_bounded_crops,121,train,buoy,fn,b8,,,prediction_jsonl
radar_bounded_crops,122,train,boat,tp,boat,0.5969195365905762,0.6990703787623933,prediction_jsonl
radar_bounded_crops,122,train,boat,fp,,0.309916228055954,,prediction_jsonl
