method,class_name,track_id,ground_truth_instances,tp,fn,recall,mean_iou,median_iou,mean_score,source_mode,detail_available
vision_only_tiled,boat,boat,300,300,0,1.0,0.6924166947176749,0.6935092666013467,0.6430713605880737,prediction_jsonl,True
vision_only_tiled,buoy,b1,300,235,65,0.7833333333333333,0.625894492382036,0.6295580978580777,0.20528535678031598,prediction_jsonl,True
vision_only_tiled,buoy,b2,92,0,92,0.0,,,,prediction_jsonl,True
vision_only_tiled,buoy,b3,300,0,300,0.0,,,,prediction_jsonl,True
vision_only_tiled,buoy,b4,300,0,300,0.0,,,,prediction_jsonl,True
vision_only_tiled,buoy,b5,300,0,300,0.0,,,,prediction_jsonl,True
vision_only_tiled,buoy,b6,300,0,300,0.0,,,,prediction_jsonl,True
vision_only_tiled,buoy,b7,300,0,300,0.0,,,,prediction_jsonl,True
vision_only_tiled,buoy,b8,300,0,300,0.0,,,,prediction_jsonl,True
radar_confidence_gated,boat,boat,300,300,0,1.0,0.6924166947176749,0.6935092666013467,0.6430713605880737,prediction_jsonl,True
radar_confidence_gated,buoy,b1,300,277,23,0.9233333333333333,0.6269312258387073,0.629868348695924,0.19993082468905604,prediction_jsonl,True
radar_confidence_gated,buoy,b2,92,0,92,0.0,,,,prediction_jsonl,True
radar_confidence_gated,buoy,b3,300,0,300,0.0,,,,prediction_jsonl,True
radar_confidence_gated,buoy,b4,300,0,300,0.0,,,,prediction_jsonl,True
radar_confidence_gated,buoy,b5,300,0,300,0.0,,,,prediction_jsonl,True
radar_confidence_gated,buoy,b6,300,0,300,0.0,,,,prediction_jsonl,True
radar_confidence_gated,buoy,b7,300,0,300,0.0,,,,prediction_jsonl,True
radar_confidence_gated,buoy,b8,300,0,300,0.0,,,,prediction_jsonl,True
radar_bounded_crops,boat,boat,300,300,0,1.0,0.7546650538790433,0.7708592415060462,0.6549648543198904,prediction_jsonl,True
radar_bounded_crops,buoy,b1,300,300,0,1.0,0.8360892671844717,0.8340402085727578,0.3019987567762534,prediction_jsonl,True
radar_bounded_crops,buoy,b2,92,13,79,0.14130434782608695,0.7016176169252186,0.6967511035379723,0.19264312661611116,prediction_jsonl,True
radar_bounded_crops,buoy,b3,300,0,300,0.0,,,,prediction_jsonl,True
radar_bounded_crops,buoy,b4,300,0,300,0.0,,,,prediction_jsonl,True
radar_bounded_crops,buoy,b5,300,0,300,0.0,,,,prediction_jsonl,True
radar_bounded_crops,buoy,b6,300,0,300,0.0,,,,prediction_jsonl,True
radar_bounded_crops,buoy,b7,300,0,300,0.0,,,,prediction_jsonl,True
radar_bounded_crops,buoy,b8,300,0,300,0.0,,,,prediction_jsonl,True
